Station ID,Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label,geometry
142,626,S04,BMT,Franklin Shuttle,Botanic Garden,Bk,S,Open Cut,40.670343,-73.959245,Franklin Av,Prospect Park,POINT (-73.959245 40.670343)
173,173,A40,IND,8th Av - Fulton St,High St,Bk,A C,Subway,40.699337,-73.990531,Manhattan,Euclid - Lefferts - Rockaways,POINT (-73.990531 40.699337)
174,636,A41,IND,8th Av - Fulton St,Jay St - MetroTech,Bk,A C F,Subway,40.692338,-73.987342,Manhattan,Euclid - Lefferts - Rockaways - Coney Island,POINT (-73.987342 40.692338)
175,175,A42,IND,8th Av - Fulton St,Hoyt - Schermerhorn Sts,Bk,A C G,Subway,40.688484,-73.985001,Manhattan - Church Av,Euclid Av & Queens - Court Sq,POINT (-73.985001 40.688484)
176,176,A43,IND,8th Av - Fulton St,Lafayette Av,Bk,C,Subway,40.686113,-73.973946,Manhattan,Euclid Av,POINT (-73.973946 40.686113)
177,177,A44,IND,8th Av - Fulton St,Clinton - Washington Avs,Bk,C,Subway,40.683263000000004,-73.965838,Manhattan,Euclid Av,POINT (-73.96583800000001 40.683263)
178,627,A45,IND,8th Av - Fulton St,Franklin Av,Bk,C,Subway,40.68138,-73.956848,Manhattan,Euclid Av,POINT (-73.95684799999999 40.68138)
179,179,A46,IND,8th Av - Fulton St,Nostrand Av,Bk,A C,Subway,40.680438,-73.95042600000001,Manhattan,Euclid - Lefferts - Rockaways,POINT (-73.95042600000001 40.680438)
180,180,A47,IND,8th Av - Fulton St,Kingston - Throop Avs,Bk,C,Subway,40.679921,-73.94085799999999,Manhattan,Euclid Av,POINT (-73.94085799999999 40.679921)
181,181,A48,IND,8th Av - Fulton St,Utica Av,Bk,A C,Subway,40.679364,-73.930729,Manhattan,Euclid - Lefferts - Rockaways,POINT (-73.930729 40.679364)
182,182,A49,IND,8th Av - Fulton St,Ralph Av,Bk,C,Subway,40.678822,-73.92078599999999,Manhattan,Euclid Av,POINT (-73.92078599999999 40.678822)
183,183,A50,IND,8th Av - Fulton St,Rockaway Av,Bk,C,Subway,40.678340000000006,-73.911946,Manhattan,Euclid Av,POINT (-73.911946 40.67834000000001)
184,621,A51,IND,8th Av - Fulton St,Broadway Jct,Bk,A C,Subway,40.678334,-73.905316,Manhattan,Euclid - Lefferts - Rockaways,POINT (-73.905316 40.678334)
185,185,A52,IND,8th Av - Fulton St,Liberty Av,Bk,C,Subway,40.674541999999995,-73.896548,Manhattan,Euclid Av,POINT (-73.896548 40.674542)
186,186,A53,IND,8th Av - Fulton St,Van Siclen Av,Bk,C,Subway,40.672709999999995,-73.89035799999999,Manhattan,Euclid Av,POINT (-73.89035799999999 40.67271)
187,187,A54,IND,8th Av - Fulton St,Shepherd Av,Bk,C,Subway,40.67413,-73.88075,Manhattan,Euclid Av,POINT (-73.88075000000001 40.67413)
188,188,A55,IND,8th Av - Fulton St,Euclid Av,Bk,A C,Subway,40.675377000000005,-73.872106,Manhattan,Lefferts - Rockaways,POINT (-73.872106 40.675377)
189,189,A57,IND,Liberty Av,Grant Av,Bk,A,Subway,40.677044,-73.86505,Manhattan,Lefferts - Rockaways,POINT (-73.86505 40.677044)
235,235,F18,IND,6th Av - Culver,York St,Bk,F,Subway,40.701397,-73.986751,Manhattan,Coney Island,POINT (-73.986751 40.701397)
236,236,F20,IND,6th Av - Culver,Bergen St,Bk,F G,Subway,40.686145,-73.99086199999999,Manhattan - Queens,Church Av - Coney Island,POINT (-73.99086199999999 40.686145)
237,237,F21,IND,6th Av - Culver,Carroll St,Bk,F G,Subway,40.680303,-73.995048,Manhattan - Queens,Church Av - Coney Island,POINT (-73.995048 40.680303)
238,238,F22,IND,6th Av - Culver,Smith - 9 Sts,Bk,F G,Viaduct,40.67358,-73.995959,Manhattan - Queens,Church Av - Coney Island,POINT (-73.995959 40.67358)
239,608,F23,IND,6th Av - Culver,4 Av,Bk,F G,Viaduct,40.670272,-73.989779,Manhattan - Queens,Church Av - Coney Island,POINT (-73.989779 40.670272)
240,240,F24,IND,6th Av - Culver,7 Av,Bk,F G,Subway,40.666271,-73.980305,Manhattan - Queens,Church Av - Coney Island,POINT (-73.980305 40.666271)
241,241,F25,IND,6th Av - Culver,15 St - Prospect Park,Bk,F G,Subway,40.660365000000006,-73.979493,Manhattan - Queens,Church Av - Coney Island,POINT (-73.97949300000001 40.66036500000001)
242,242,F26,IND,6th Av - Culver,Fort Hamilton Pkwy,Bk,F G,Subway,40.650782,-73.975776,Manhattan - Queens,Church Av - Coney Island,POINT (-73.975776 40.650782)
243,243,F27,IND,6th Av - Culver,Church Av,Bk,F,Subway,40.644040999999994,-73.979678,Manhattan,Coney Island,POINT (-73.97967800000001 40.64404099999999)
244,244,F29,IND,6th Av - Culver,Ditmas Av,Bk,F,Elevated,40.636119,-73.978172,Manhattan,Coney Island,POINT (-73.978172 40.636119)
245,245,F30,IND,6th Av - Culver,18 Av,Bk,F,Elevated,40.629754999999996,-73.97697099999999,Manhattan,Coney Island,POINT (-73.97697099999999 40.629755)
246,246,F31,IND,6th Av - Culver,Avenue I,Bk,F,Elevated,40.625322,-73.976127,Manhattan,Coney Island,POINT (-73.97612700000001 40.625322)
247,247,F32,IND,6th Av - Culver,Bay Pkwy,Bk,F,Elevated,40.620769,-73.975264,Manhattan,Coney Island,POINT (-73.975264 40.620769)
248,248,F33,IND,6th Av - Culver,Avenue N,Bk,F,Elevated,40.615140000000004,-73.974197,Manhattan,Coney Island,POINT (-73.974197 40.61514)
249,249,F34,IND,6th Av - Culver,Avenue P,Bk,F,Elevated,40.608944,-73.973022,Manhattan,Coney Island,POINT (-73.973022 40.608944)
250,250,F35,IND,6th Av - Culver,Kings Hwy,Bk,F,Elevated,40.603217,-73.97236099999999,Manhattan,Coney Island,POINT (-73.97236099999999 40.603217)
251,251,F36,IND,6th Av - Culver,Avenue U,Bk,F,Elevated,40.596063,-73.973357,Manhattan,Coney Island,POINT (-73.97335699999999 40.596063)
252,252,F38,IND,6th Av - Culver,Avenue X,Bk,F,Elevated,40.589620000000004,-73.97425,Manhattan,Coney Island,POINT (-73.97425 40.58962)
253,253,F39,IND,6th Av - Culver,Neptune Av,Bk,F,Elevated,40.581011,-73.974574,Manhattan,Stillwell Av,POINT (-73.974574 40.581011)
283,283,G26,IND,Crosstown,Greenpoint Av,Bk,G,Subway,40.731352,-73.954449,Queens,Church Av,POINT (-73.954449 40.731352)
284,284,G28,IND,Crosstown,Nassau Av,Bk,G,Subway,40.724635,-73.951277,Queens,Church Av,POINT (-73.951277 40.724635)
285,629,G29,IND,Crosstown,Metropolitan Av,Bk,G,Subway,40.712792,-73.951418,Queens,Church Av,POINT (-73.951418 40.712792)
286,286,G30,IND,Crosstown,Broadway,Bk,G,Subway,40.706092,-73.95030799999999,Queens,Church Av,POINT (-73.95030799999999 40.706092)
287,287,G31,IND,Crosstown,Flushing Av,Bk,G,Subway,40.700377,-73.950234,Queens,Church Av,POINT (-73.95023399999999 40.700377)
288,288,G32,IND,Crosstown,Myrtle - Willoughby Avs,Bk,G,Subway,40.694568,-73.949046,Queens,Church Av,POINT (-73.949046 40.694568)
289,289,G33,IND,Crosstown,Bedford - Nostrand Avs,Bk,G,Subway,40.689627,-73.95352199999999,Queens,Church Av,POINT (-73.95352199999999 40.689627)
290,290,G34,IND,Crosstown,Classon Av,Bk,G,Subway,40.688873,-73.96007,Queens,Church Av,POINT (-73.96007 40.688873)
291,291,G35,IND,Crosstown,Clinton - Washington Avs,Bk,G,Subway,40.688089,-73.96683900000001,Queens,Church Av,POINT (-73.96683900000001 40.688089)
292,292,G36,IND,Crosstown,Fulton St,Bk,G,Subway,40.687119,-73.975375,Queens,Church Av,POINT (-73.975375 40.687119)
334,334,231,IRT,Clark St,Clark St,Bk,2 3,Subway,40.697466,-73.993086,Manhattan,Flatbush - New Lots,POINT (-73.99308600000001 40.697466)
335,620,232,IRT,Clark St,Borough Hall,Bk,2 3,Subway,40.693219,-73.989998,Manhattan,Flatbush - New Lots,POINT (-73.989998 40.693219)
336,336,233,IRT,Eastern Pky,Hoyt St,Bk,2 3,Subway,40.690545,-73.985065,Manhattan,Flatbush - New Lots,POINT (-73.98506500000001 40.690545)
337,337,234,IRT,Eastern Pky,Nevins St,Bk,2 3 4 5,Subway,40.688246,-73.980492,Manhattan,Flatbush - Utica - New Lots,POINT (-73.980492 40.688246)
338,617,235,IRT,Eastern Pky,Atlantic Av - Barclays Ctr,Bk,2 3,Subway,40.684359,-73.977666,Manhattan,Flatbush - New Lots,POINT (-73.977666 40.684359)
339,339,236,IRT,Eastern Pky,Bergen St,Bk,2 3,Subway,40.680828999999996,-73.975098,Manhattan,Flatbush - New Lots,POINT (-73.975098 40.680829)
340,340,237,IRT,Eastern Pky,Grand Army Plaza,Bk,2 3,Subway,40.675235,-73.971046,Manhattan,Flatbush - New Lots,POINT (-73.971046 40.675235)
341,341,238,IRT,Eastern Pky,Eastern Pkwy - Brooklyn Museum,Bk,2 3,Subway,40.671987,-73.964375,Manhattan,Flatbush - New Lots,POINT (-73.964375 40.671987)
342,626,239,IRT,Eastern Pky,Franklin Av,Bk,2 3 4 5,Subway,40.670682,-73.95813100000001,Manhattan,Flatbush - Utica - New Lots,POINT (-73.95813100000001 40.670682)
343,343,248,IRT,Eastern Pky,Nostrand Av,Bk,3,Subway,40.669847,-73.950466,Manhattan,New Lots,POINT (-73.95046600000001 40.669847)
344,344,249,IRT,Eastern Pky,Kingston Av,Bk,3,Subway,40.669399,-73.942161,Manhattan,New Lots,POINT (-73.942161 40.669399)
345,345,250,IRT,Eastern Pky,Crown Hts - Utica Av,Bk,3 4,Subway,40.668896999999994,-73.93294200000001,Manhattan,New Lots,POINT (-73.93294200000001 40.66889699999999)
346,346,251,IRT,Eastern Pky,Sutter Av - Rutland Rd,Bk,3,Elevated,40.664716999999996,-73.92260999999999,Manhattan,New Lots,POINT (-73.92260999999999 40.664717)
347,347,252,IRT,Eastern Pky,Saratoga Av,Bk,3,Elevated,40.661453,-73.916327,Manhattan,New Lots,POINT (-73.916327 40.661453)
348,348,253,IRT,Eastern Pky,Rockaway Av,Bk,3,Elevated,40.662549,-73.908946,Manhattan,New Lots,POINT (-73.908946 40.662549)
349,349,254,IRT,Eastern Pky,Junius St,Bk,3,Elevated,40.663515000000004,-73.902447,Manhattan,New Lots,POINT (-73.902447 40.663515)
350,350,255,IRT,Eastern Pky,Pennsylvania Av,Bk,3,Elevated,40.664635,-73.89489499999999,Manhattan,New Lots,POINT (-73.89489499999999 40.664635)
351,351,256,IRT,Eastern Pky,Van Siclen Av,Bk,3,Elevated,40.665449,-73.889395,Manhattan,New Lots,POINT (-73.88939499999999 40.665449)
352,352,257,IRT,Eastern Pky,New Lots Av,Bk,3,Elevated,40.666235,-73.884079,Manhattan,,POINT (-73.884079 40.666235)
353,353,241,IRT,Nostrand,President St,Bk,2 5,Subway,40.667883,-73.950683,Manhattan,Flatbush,POINT (-73.950683 40.667883)
354,354,242,IRT,Nostrand,Sterling St,Bk,2 5,Subway,40.662742,-73.95085,Manhattan,Flatbush,POINT (-73.95085 40.662742)
355,355,243,IRT,Nostrand,Winthrop St,Bk,2 5,Subway,40.656652,-73.9502,Manhattan,Flatbush,POINT (-73.9502 40.656652)
356,356,244,IRT,Nostrand,Church Av,Bk,2 5,Subway,40.650843,-73.949575,Manhattan,Flatbush,POINT (-73.949575 40.650843)
357,357,245,IRT,Nostrand,Beverly Rd,Bk,2 5,Subway,40.645098,-73.948959,Manhattan,Flatbush,POINT (-73.948959 40.645098)
358,358,246,IRT,Nostrand,Newkirk Av,Bk,2 5,Subway,40.639967,-73.948411,Manhattan,Flatbush,POINT (-73.94841099999999 40.639967)
359,359,247,IRT,Nostrand,Flatbush Av - Brooklyn College,Bk,2 5,Subway,40.632836,-73.947642,Manhattan,,POINT (-73.947642 40.632836)
415,620,423,IRT,Eastern Pky,Borough Hall,Bk,4 5,Subway,40.692403999999996,-73.990151,Manhattan,Flatbush - Utica,POINT (-73.990151 40.692404)
